2026-08-28T09:23:50.726650130Z WARNING: Logging before InitGoogle() is written to STDERR
2026-08-28T09:23:50.726671477Z W0000 00:00:1787909030.726560       1 override_grpc_credentials_real.cc:57] Registering MLPathways gRPC credentials override 'grpc_insecure_override'
2026-08-28T09:23:50.728795606Z I0000 00:00:1787909030.728703       1 pipe_transport_registry.cc:30] Registering pipe transport grpc
2026-08-28T09:23:50.747014243Z I0828 09:23:50.746955       1 b295d63588a.cc:788] Linux version 6.12.85+ (builder@535ef2dedada) (Chromium OS 17.0_pre498229-r33 clang version 17.0.0 (/mnt/host/source/src/third_party/llvm-project 14f0776550b5a49e1c42f49a00213f7f3fa047bf), LLD 17.0.0) #1 SMP Mon May 11 07:53:24 UTC 2026
2026-08-28T09:23:50.747290753Z I0828 09:23:50.747234       1 b295d63588a.cc:872] Process id 1
2026-08-28T09:23:50.747292556Z I0828 09:23:50.747255       1 b295d63588a.cc:878] Current working directory /
2026-08-28T09:23:50.747293947Z I0828 09:23:50.747257       1 b295d63588a.cc:881] Current timezone is UTC (currently UTC +00:00)
2026-08-28T09:23:50.747294992Z I0828 09:23:50.747261       1 b295d63588a.cc:886] Built on Jul 30 2026 03:19:54 (1785406794)
2026-08-28T09:23:50.747296256Z I0828 09:23:50.747262       1 b295d63588a.cc:887]  at rbex-enqueue-targets@jgik3.prod.google.com:/google/src/cloud/buildrabbit-username/buildrabbit-client/g3     
2026-08-28T09:23:50.747297609Z I0828 09:23:50.747263       1 b295d63588a.cc:888]  as 
2026-08-28T09:23:50.747298605Z I0828 09:23:50.747265       1 b295d63588a.cc:889]  for gcc-4.X.Y-crosstool-v18-llvm-grtev4-k8.k8
2026-08-28T09:23:50.747299700Z I0828 09:23:50.747269       1 b295d63588a.cc:892]  from changelist 956357083 with baseline 956357083 in a mint client based on __ar56t/g3     
2026-08-28T09:23:50.747300807Z I0828 09:23:50.747274       1 b295d63588a.cc:896] Build label: cloud_pathways.runtime_20260730_0_RC00
2026-08-28T09:23:50.747301984Z I0828 09:23:50.747279       1 b295d63588a.cc:898] Build tool: Bazel, release r4rca-2026.07.27-2 (mainline @954306043)
2026-08-28T09:23:50.747302976Z I0828 09:23:50.747280       1 b295d63588a.cc:899] Build target: 
2026-08-28T09:23:50.747306364Z I0828 09:23:50.747285       1 b295d63588a.cc:907] Command line arguments:
2026-08-28T09:23:50.747307342Z I0828 09:23:50.747286       1 b295d63588a.cc:909] argv[0]: '/usr/pathways/run/cloud_pathways_server_sanitized'
2026-08-28T09:23:50.747308290Z I0828 09:23:50.747289       1 b295d63588a.cc:909] argv[1]: '--server_port=29000'
2026-08-28T09:23:50.747309537Z I0828 09:23:50.747292       1 b295d63588a.cc:909] argv[2]: '--resource_manager_address=canon-p57-fl-zero-f45w15-799a0bd1-pathways-head-0-0.canon-p57-fl-zero-f45w15-799a0bd1:29001'
2026-08-28T09:23:50.747310746Z I0828 09:23:50.747294       1 b295d63588a.cc:909] argv[3]: '--node_type=worker'
2026-08-28T09:23:50.747312859Z I0828 09:23:50.747295       1 b295d63588a.cc:909] argv[4]: '--instance_type=tpuv5:4x4x4'
2026-08-28T09:23:50.747314815Z I0828 09:23:50.747297       1 b295d63588a.cc:909] argv[5]: '--temporary_flags_for_debugging=temporary_flag_for_debugging_pipe_unreachable_timeout=300s'
2026-08-28T09:23:50.747545367Z I0828 09:23:50.747481       1 init.cc:78] Remote crash gathering hook installed.
2026-08-28T09:23:50.747561489Z I0828 09:23:50.747533       1 tpu_runtime_type_flags.cc:78] --tpu_use_tfrt not specified. Using default value: true
2026-08-28T09:23:50.747968251Z I0828 09:23:50.747921       1 host_command_handler_factory.cc:31] Skipping registration of host command handler for opcode Log because it is not in the allowlist.
2026-08-28T09:23:50.748145924Z I0828 09:23:50.748105       1 tpu_hal.cc:467] Registered plugin from module: megascale_sync_flag_logger
2026-08-28T09:23:50.750687781Z I0828 09:23:50.750631       1 tpu_hal.cc:467] Registered plugin from module: RuntimeMetricHelper
2026-08-28T09:23:50.765746986Z I0828 09:23:50.765686       1 logger.cc:308] Enabling threaded logging for severity WARNING
2026-08-28T09:23:50.765757991Z I0828 09:23:50.765723       1 tpu_hal.cc:467] Registered plugin from module: sdc_checker_callback
2026-08-28T09:23:50.765991295Z I0828 09:23:50.765950       1 mlock.cc:220] mlock()-ed 4096 bytes for BuildID, using 1 syscalls.
2026-08-28T09:23:50.766205451Z I0828 09:23:50.766163       1 cloud_config_util.cc:53] STARTUP: argv[0]: /usr/pathways/run/cloud_pathways_server_sanitized$
2026-08-28T09:23:50.766206971Z I0828 09:23:50.766170       1 cloud_config_util.cc:57] STARTUP: env: PATH=/bin$
2026-08-28T09:23:50.766208165Z I0828 09:23:50.766172       1 cloud_config_util.cc:57] STARTUP: env: HOSTNAME=gke-tpu-44404155-lb33$
2026-08-28T09:23:50.766209177Z I0828 09:23:50.766173       1 cloud_config_util.cc:57] STARTUP: env: LD_LIBRARY_PATH=/usr/grte/v5/lib64/:/usr/pathways/run/$
2026-08-28T09:23:50.766210388Z I0828 09:23:50.766174       1 cloud_config_util.cc:57] STARTUP: env: PATHWAYS_UNSAFE_UNSAFE_OVERRIDE_GRPC_CREDENTIALS=grpc_insecure_override$
2026-08-28T09:23:50.766211796Z I0828 09:23:50.766175       1 cloud_config_util.cc:57] STARTUP: env: TPU_STDERR_LOG_LEVEL=0$
