2026-08-28T09:23:51.949747208Z WARNING: Logging before InitGoogle() is written to STDERR
2026-08-28T09:23:51.949771831Z W0000 00:00:1787909031.949624       1 override_grpc_credentials_real.cc:57] Registering MLPathways gRPC credentials override 'grpc_insecure_override'
2026-08-28T09:23:51.951724902Z I0000 00:00:1787909031.951670       1 pipe_transport_registry.cc:30] Registering pipe transport grpc
2026-08-28T09:23:51.969215869Z I0828 09:23:51.969161       1 b295d63588a.cc:788] Linux version 6.12.85+ (builder@535ef2dedada) (Chromium OS 17.0_pre498229-r33 clang version 17.0.0 (/mnt/host/source/src/third_party/llvm-project 14f0776550b5a49e1c42f49a00213f7f3fa047bf), LLD 17.0.0) #1 SMP Mon May 11 07:53:24 UTC 2026
2026-08-28T09:23:51.969470838Z I0828 09:23:51.969415       1 b295d63588a.cc:872] Process id 1
2026-08-28T09:23:51.969473307Z I0828 09:23:51.969431       1 b295d63588a.cc:878] Current working directory /
2026-08-28T09:23:51.969474676Z I0828 09:23:51.969433       1 b295d63588a.cc:881] Current timezone is UTC (currently UTC +00:00)
2026-08-28T09:23:51.969475855Z I0828 09:23:51.969436       1 b295d63588a.cc:886] Built on Jul 30 2026 03:19:54 (1785406794)
2026-08-28T09:23:51.969476973Z I0828 09:23:51.969437       1 b295d63588a.cc:887]  at rbex-enqueue-targets@jgik3.prod.google.com:/google/src/cloud/buildrabbit-username/buildrabbit-client/g3     
2026-08-28T09:23:51.969478777Z I0828 09:23:51.969439       1 b295d63588a.cc:888]  as 
2026-08-28T09:23:51.969479932Z I0828 09:23:51.969440       1 b295d63588a.cc:889]  for gcc-4.X.Y-crosstool-v18-llvm-grtev4-k8.k8
2026-08-28T09:23:51.969481769Z I0828 09:23:51.969444       1 b295d63588a.cc:892]  from changelist 956357083 with baseline 956357083 in a mint client based on __ar56t/g3     
2026-08-28T09:23:51.969482815Z I0828 09:23:51.969447       1 b295d63588a.cc:896] Build label: cloud_pathways.runtime_20260730_0_RC00
2026-08-28T09:23:51.969484226Z I0828 09:23:51.969451       1 b295d63588a.cc:898] Build tool: Bazel, release r4rca-2026.07.27-2 (mainline @954306043)
2026-08-28T09:23:51.969485566Z I0828 09:23:51.969453       1 b295d63588a.cc:899] Build target: 
2026-08-28T09:23:51.969486634Z I0828 09:23:51.969458       1 b295d63588a.cc:907] Command line arguments:
2026-08-28T09:23:51.969488016Z I0828 09:23:51.969459       1 b295d63588a.cc:909] argv[0]: '/usr/pathways/run/cloud_pathways_server_sanitized'
2026-08-28T09:23:51.969489033Z I0828 09:23:51.969461       1 b295d63588a.cc:909] argv[1]: '--server_port=29000'
2026-08-28T09:23:51.969493597Z I0828 09:23:51.969463       1 b295d63588a.cc:909] argv[2]: '--resource_manager_address=canon-p57-fl-zero-f45w15-799a0bd1-pathways-head-0-0.canon-p57-fl-zero-f45w15-799a0bd1:29001'
2026-08-28T09:23:51.969495658Z I0828 09:23:51.969465       1 b295d63588a.cc:909] argv[3]: '--node_type=worker'
2026-08-28T09:23:51.969496851Z I0828 09:23:51.969467       1 b295d63588a.cc:909] argv[4]: '--instance_type=tpuv5:4x4x4'
2026-08-28T09:23:51.969497999Z I0828 09:23:51.969469       1 b295d63588a.cc:909] argv[5]: '--temporary_flags_for_debugging=temporary_flag_for_debugging_pipe_unreachable_timeout=300s'
2026-08-28T09:23:51.969661614Z I0828 09:23:51.969625       1 init.cc:78] Remote crash gathering hook installed.
2026-08-28T09:23:51.969684088Z I0828 09:23:51.969658       1 tpu_runtime_type_flags.cc:78] --tpu_use_tfrt not specified. Using default value: true
2026-08-28T09:23:51.970039368Z I0828 09:23:51.969993       1 host_command_handler_factory.cc:31] Skipping registration of host command handler for opcode Log because it is not in the allowlist.
2026-08-28T09:23:51.970205990Z I0828 09:23:51.970163       1 tpu_hal.cc:467] Registered plugin from module: megascale_sync_flag_logger
2026-08-28T09:23:51.972624271Z I0828 09:23:51.972574       1 tpu_hal.cc:467] Registered plugin from module: RuntimeMetricHelper
2026-08-28T09:23:51.987372200Z I0828 09:23:51.987317       1 logger.cc:308] Enabling threaded logging for severity WARNING
2026-08-28T09:23:51.987378347Z I0828 09:23:51.987351       1 tpu_hal.cc:467] Registered plugin from module: sdc_checker_callback
2026-08-28T09:23:51.987610427Z I0828 09:23:51.987562       1 mlock.cc:220] mlock()-ed 4096 bytes for BuildID, using 1 syscalls.
2026-08-28T09:23:51.987799918Z I0828 09:23:51.987752       1 cloud_config_util.cc:53] STARTUP: argv[0]: /usr/pathways/run/cloud_pathways_server_sanitized$
2026-08-28T09:23:51.987801214Z I0828 09:23:51.987761       1 cloud_config_util.cc:57] STARTUP: env: PATH=/bin$
2026-08-28T09:23:51.987802363Z I0828 09:23:51.987763       1 cloud_config_util.cc:57] STARTUP: env: HOSTNAME=gke-tpu-44404155-533v$
2026-08-28T09:23:51.987803429Z I0828 09:23:51.987764       1 cloud_config_util.cc:57] STARTUP: env: LD_LIBRARY_PATH=/usr/grte/v5/lib64/:/usr/pathways/run/$
2026-08-28T09:23:51.987804613Z I0828 09:23:51.987765       1 cloud_config_util.cc:57] STARTUP: env: PATHWAYS_UNSAFE_UNSAFE_OVERRIDE_GRPC_CREDENTIALS=grpc_insecure_override$
2026-08-28T09:23:51.987805723Z I0828 09:23:51.987766       1 cloud_config_util.cc:57] STARTUP: env: TPU_STDERR_LOG_LEVEL=0$
2026-08-28T09:23:51.987806942Z I0828 09:23:51.987767       1 cloud_config_util.cc:57] STARTUP: env: WRAP=true,true,true$
2026-08-28T09:23:51.987807880Z I0828 09:23:51.987768       1 cloud_config_util.cc:57] STARTUP: env: TPU_TOPOLOGY_WRAP=true,true,true$
2026-08-28T09:23:51.987808992Z I0828 09:23:51.987769       1 cloud_config_util.cc:57] STARTUP: env: ENABLE_ICI_RESILIENCY=true$
2026-08-28T09:23:51.987809927Z I0828 09:23:51.987770       1 cloud_config_util.cc:57] STARTUP: env: TPU_ACCELERATOR_TYPE=v5p-128$
2026-08-28T09:23:51.987811151Z I0828 09:23:51.987771       1 cloud_config_util.cc:57] STARTUP: env: CHIPS_PER_HOST_BOUNDS=2,2,1$
2026-08-28T09:23:51.987812189Z I0828 09:23:51.987772       1 cloud_config_util.cc:57] STARTUP: env: TPU_TOPOLOGY_ALT=false$
2026-08-28T09:23:51.987813120Z I0828 09:23:51.987773       1 cloud_config_util.cc:57] STARTUP: env: ALT=false$
2026-08-28T09:23:51.987814151Z I0828 09:23:51.987774       1 cloud_config_util.cc:57] STARTUP: env: VBAR_CONTROL_SERVICE_URL=unix:///var/run/tpu-plugin/vbar.sock$
2026-08-28T09:23:51.987815072Z I0828 09:23:51.987775       1 cloud_config_util.cc:57] STARTUP: env: TPU_TOPOLOGY=4x4x4$
2026-08-28T09:23:51.987816027Z I0828 09:23:51.987777       1 cloud_config_util.cc:57] STARTUP: env: TPU_SKIP_MDS_QUERY=true$
2026-08-28T09:23:51.987817050Z I0828 09:23:51.987778       1 cloud_config_util.cc:57] STARTUP: env: TPU_CHIPS_PER_HOST_BOUNDS=2,2,1$
2026-08-28T09:23:51.987818276Z I0828 09:23:51.987779       1 cloud_config_util.cc:57] STARTUP: env: TPU_HOST_BOUNDS=2,2,4$
2026-08-28T09:23:51.987819161Z I0828 09:23:51.987780       1 cloud_config_util.cc:57] STARTUP: env: HOST_BOUNDS=2,2,4$
2026-08-28T09:23:51.987820074Z I0828 09:23:51.987782       1 cloud_config_util.cc:57] STARTUP: env: TPU_RUNTIME_METRICS_PORTS=8431,8432,8433,8434$
2026-08-28T09:23:51.987820983Z I0828 09:23:51.987783       1 cloud_config_util.cc:57] STARTUP: env: PATHWAYS_PIPE_UNREACHABLE_TIMEOUT=300s$
2026-08-28T09:23:51.987821956Z I0828 09:23:51.987785       1 cloud_config_util.cc:57] STARTUP: env: XLA_PYTHON_CLIENT_PREALLOCATE=true$
2026-08-28T09:23:51.987822838Z I0828 09:23:51.987786       1 cloud_config_util.cc:57] STARTUP: env: ENABLE_PATHWAYS_PERSISTENCE=1$
2026-08-28T09:23:51.987824455Z I0828 09:23:51.987787       1 cloud_config_util.cc:57] STARTUP: env: TPU_WORKER_ID=3$
2026-08-28T09:23:51.987825407Z I0828 09:23:51.987789       1 cloud_config_util.cc:57] STARTUP: env: JOB_COMPLETION_INDEX=3$
2026-08-28T09:23:51.987826608Z I0828 09:23:51.987790       1 cloud_config_util.cc:57] STARTUP: env: PATHWAYS_HEAD=canon-p57-fl-zero-f45w15-799a0bd1-pathways-head-0-0.canon-p57-fl-zero-f45w15-799a0bd1$
2026-08-28T09:23:51.987829849Z I0828 09:23:51.987791       1 cloud_config_util.cc:57] STARTUP: env: GRPC_KEEPALIVE_TIMEOUT_MS=30000$
2026-08-28T09:23:51.987843256Z I0828 09:23:51.987793       1 cloud_config_util.cc:57] STARTUP: env: TPU_PREMAPPED_BUFFER_SIZE=8589934592$
2026-08-28T09:23:51.987851958Z I0828 09:23:51.987794       1 cloud_config_util.cc:57] STARTUP: env: JOBSET_NAME=canon-p57-fl-zero-f45w15-799a0bd1$
2026-08-28T09:23:51.987853625Z I0828 09:23:51.987795       1 cloud_config_util.cc:57] STARTUP: env: XLA_PYTHON_CLIENT_MEM_FRACTION=0.9$
2026-08-28T09:23:51.987855364Z I0828 09:23:51.987796       1 cloud_config_util.cc:57] STARTUP: env: TPU_WORKER_HOSTNAMES=canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-0.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-1.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-2.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-3.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-4.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-5.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-6.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-7.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-8.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-9.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-10.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-11.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-12.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-13.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-14.canon-p57-fl-zero-f45w15-799a0bd1,canon-p57-fl-zero-f45w15-799a0bd1-pathways-worker-0-15.canon-p57-fl-zero-f45w15-799a0bd1$
2026-08-28T09:23:51.987858918Z I0828 09:23:51.987798       1 cloud_config_util.cc:57] STARTUP: env: GRPC_KEEPALIVE_TIME_MS=10000$
